anon_post_id,anon_user_id,day,valence,llm,sentiment_score,human_operator_comment_count,ai_comment_count,participant_comment_count,text_length,ai_HL,humanFB,aiFB,aiDose,loglen,llm_next,day_next,humanFB_lag,aiFB_lag,llm_lag
BP0212,U0011,2,1,0.5,0.143,0,1,0,505,0.0003407183913102289,0,1,1,6.226536669287466,1.0,3.0,1.0,1.0,1.0
BP0347,U0011,3,2,1.0,0.714,0,1,1,392,0.0014147310600537218,0,1,1,5.973809611869261,1.0,4.0,0.0,1.0,0.5
BP0299,U0011,4,2,1.0,0.667,0,1,0,307,0.04868223091721095,0,1,1,5.730099782973574,1.0,5.0,0.0,1.0,1.0
BP0250,U0011,5,2,1.0,0.333,0,1,0,406,0.030801899325375772,0,1,1,6.008813185442595,,,0.0,1.0,1.0
BP0106,U0012,0,1,0.5,1.0,1,0,0,309,,1,0,0,5.736572297479192,1.0,1.0,,,
BP0219,U0012,1,2,1.0,0.538,0,1,0,477,0.044451157626077126,0,1,1,6.169610732491456,0.5,2.0,1.0,0.0,0.5
BP0302,U0012,2,1,0.5,0.0,1,1,1,473,0.005491955826290776,1,1,1,6.161207321695077,0.5,3.0,0.0,1.0,1.0
BP0208,U0012,3,1,0.5,0.714,0,1,0,297,0.045366707649866826,0,1,1,5.697093486505405,1.0,4.0,1.0,1.0,0.5
BP0324,U0012,4,2,1.0,0.5,0,1,0,807,0.01618401929082763,0,1,1,6.694562058521095,1.0,5.0,0.0,1.0,0.5
BP0013,U0012,5,2,1.0,0.077,0,1,0,647,4.045189814694147e-05,0,1,1,6.473890696352274,,,0.0,1.0,1.0
BP0064,U0013,0,1,0.5,0.714,1,0,0,449,,1,0,0,6.1092475827643655,0.5,1.0,,,
BP0357,U0013,1,1,0.5,0.273,1,1,0,731,0.005517102394617079,1,1,1,6.595780513961311,0.5,2.0,1.0,0.0,0.5
BP0201,U0013,2,1,0.5,0.091,0,1,0,820,0.0037415261706536798,0,1,1,6.710523109452428,1.0,3.0,1.0,1.0,0.5
BP0381,U0013,3,2,1.0,0.5,0,1,0,653,0.000559383029812028,0,1,1,6.483107351457199,1.0,4.0,0.0,1.0,0.5
BP0359,U0013,4,2,1.0,0.5,0,1,0,811,0.0006570399753089728,0,1,1,6.699500340161678,1.0,5.0,0.0,1.0,1.0
BP0085,U0013,5,2,1.0,0.6,0,1,0,625,0.01466177365929125,0,1,1,6.439350371100098,,,0.0,1.0,1.0
BP0159,U0016,0,1,0.5,1.0,1,0,0,258,,1,0,0,5.556828061699537,1.0,1.0,,,
BP0360,U0016,1,2,1.0,0.714,0,1,0,542,0.0009463725354796927,0,1,1,6.297109319933935,1.0,2.0,1.0,0.0,0.5
BP0326,U0016,2,2,1.0,0.25,0,1,0,656,3.952054558560954e-05,0,1,1,6.48768401848461,1.0,3.0,0.0,1.0,1.0
BP0319,U0016,3,2,1.0,0.556,0,1,0,490,0.013403181507647353,0,1,1,6.19644412779452,0.5,4.0,0.0,1.0,1.0
BP0151,U0016,4,1,0.5,0.0,0,1,0,393,0.0010397385741001272,0,1,1,5.976350909297934,0.5,5.0,0.0,1.0,1.0
BP0203,U0016,5,1,0.5,0.75,0,1,0,561,0.000629444855236688,0,1,1,6.331501849893691,,,0.0,1.0,0.5
BP0258,U0020,0,1,0.5,0.0,1,0,0,392,,1,0,0,5.973809611869261,0.5,1.0,,,
BP0181,U0020,1,1,0.5,0.25,1,1,0,545,0.001190062840551625,1,1,1,6.302618975744905,0.5,2.0,1.0,0.0,0.5
BP0284,U0020,2,1,0.5,0.0,0,1,0,503,0.005215970615236905,0,1,1,6.222576268071369,1.0,3.0,1.0,1.0,0.5
BP0262,U0020,3,2,1.0,0.333,0,1,0,497,0.011449062032039074,0,1,1,6.210600077024653,0.5,4.0,0.0,1.0,0.5
BP0195,U0020,4,1,0.5,0.333,0,1,0,461,0.026215670661124908,0,1,1,6.135564891081739,,,0.0,1.0,1.0
BP0179,U0024,0,2,1.0,1.0,1,0,0,335,,1,0,0,5.817111159963204,-0.5,1.0,,,
BP0214,U0024,1,-1,-0.5,0.778,0,1,1,824,0.021723717536687493,0,1,1,6.715383386334681,0.5,2.0,1.0,0.0,1.0
BP0004,U0024,2,1,0.5,0.5,1,1,1,286,0.0003670970666070035,1,1,1,5.659482215759621,0.5,3.0,0.0,1.0,-0.5
BP0369,U0024,3,1,0.5,0.6,0,1,0,533,0.0007240544484899045,0,1,1,6.280395838960195,0.5,4.0,1.0,1.0,0.5
BP0371,U0024,4,1,0.5,0.333,0,1,0,463,0.0033045025598722653,0,1,1,6.139884552226255,0.5,5.0,0.0,1.0,0.5
BP0010,U0024,5,1,0.5,0.714,0,1,0,372,0.02937559563214046,0,1,1,5.921578419643816,,,0.0,1.0,0.5
BP0077,U0027,0,1,0.5,1.0,1,0,0,460,,1,0,0,6.133398042996649,0.5,1.0,,,
BP0108,U0027,1,1,0.5,0.667,0,1,0,1140,0.00903345489400878,0,1,1,7.039660349862076,0.0,2.0,1.0,0.0,0.5
BP0224,U0027,2,0,0.0,0.778,1,1,0,1025,0.009416563208556978,1,1,1,6.933423025730715,0.5,3.0,0.0,1.0,0.5
BP0350,U0027,3,1,0.5,0.5,0,1,0,700,2.5180726472777595e-05,0,1,1,6.55250788703459,0.5,4.0,1.0,1.0,0.0
BP0025,U0027,4,1,0.5,0.714,0,1,0,624,0.017330359257142474,0,1,1,6.437751649736401,0.5,5.0,0.0,1.0,0.5
BP0041,U0027,5,1,0.5,0.6,0,1,0,563,0.0032390278820927263,0,1,1,6.335054251498059,,,0.0,1.0,0.5
BP0196,U0029,0,1,0.5,0.0,1,0,0,419,,1,0,0,6.040254711277414,-0.5,1.0,,,
BP0365,U0029,1,-1,-0.5,-0.25,0,1,0,579,0.012181807781600933,0,1,1,6.363028103540465,1.0,2.0,1.0,0.0,0.5
BP0332,U0029,2,2,1.0,0.5,0,1,0,457,0.0033563710026785747,0,1,1,6.126869184114185,1.0,3.0,0.0,1.0,-0.5
BP0107,U0029,3,2,1.0,0.667,0,1,0,385,0.004651631866401991,0,1,1,5.955837369464831,0.5,4.0,0.0,1.0,1.0
BP0339,U0029,4,1,0.5,0.556,0,1,0,492,0.08436890986938042,0,1,1,6.20050917404269,0.5,5.0,0.0,1.0,1.0
BP0321,U0029,5,1,0.5,0.75,0,1,0,597,0.0034853642461160927,0,1,1,6.393590753950631,,,0.0,1.0,0.5
BP0380,U0030,0,1,0.5,1.0,1,0,1,449,,1,0,0,6.1092475827643655,0.5,1.0,,,
BP0184,U0030,1,1,0.5,0.333,0,1,0,324,0.018721907138601526,0,1,1,5.783825182329737,1.0,2.0,1.0,0.0,0.5
BP0361,U0030,2,2,1.0,0.636,0,1,0,453,0.009533777026158569,0,1,1,6.118097198041348,0.5,3.0,0.0,1.0,0.5
BP0140,U0030,3,1,0.5,0.714,0,1,0,304,0.0022665288679711475,0,1,1,5.720311776607412,0.5,4.0,0.0,1.0,1.0
BP0007,U0030,4,1,0.5,0.714,0,1,0,456,0.024485976123215635,0,1,1,6.124683390894205,1.0,5.0,0.0,1.0,0.5
BP0276,U0030,5,2,1.0,0.667,0,1,0,385,0.002540576035056922,0,1,1,5.955837369464831,,,0.0,1.0,0.5
BP0331,U0033,0,0,0.0,1.0,1,0,0,542,,1,0,0,6.297109319933935,1.0,1.0,,,
BP0051,U0033,1,2,1.0,0.6,0,1,0,504,0.002122286375591792,0,1,1,6.22455842927536,1.0,2.0,1.0,0.0,0.0
BP0105,U0033,2,2,1.0,0.5,0,1,0,269,0.0011985553949658318,0,1,1,5.598421958998375,0.5,3.0,0.0,1.0,1.0
BP0096,U0033,3,1,0.5,0.273,0,1,0,308,6.273699701675486e-05,0,1,1,5.733341276897746,1.0,4.0,0.0,1.0,1.0
BP0313,U0033,4,2,1.0,0.714,0,1,0,306,0.011015878992124833,0,1,1,5.726847747587197,0.5,5.0,0.0,1.0,0.5
BP0172,U0033,5,1,0.5,0.429,0,1,0,307,9.277452952984664e-05,0,1,1,5.730099782973574,,,0.0,1.0,1.0
BP0223,U0034,0,1,0.5,1.0,1,0,0,279,,1,0,0,5.634789603169249,1.0,1.0,,,
BP0149,U0034,1,2,1.0,0.5,0,1,0,687,0.003982974896092002,0,1,1,6.5337888379333435,0.0,2.0,1.0,0.0,0.5
BP0091,U0034,2,0,0.0,-0.091,0,1,0,588,0.0033366031254469758,0,1,1,6.3784261836515865,0.5,3.0,0.0,1.0,1.0
BP0309,U0034,3,1,0.5,0.0,0,1,0,654,0.0010269451419609088,0,1,1,6.484635235635252,0.5,4.0,0.0,1.0,0.0
BP0281,U0034,4,1,0.5,-0.25,0,1,0,404,0.060923450533244466,0,1,1,6.003887067106539,0.5,5.0,0.0,1.0,0.5
BP0062,U0034,5,1,0.5,0.333,0,1,0,290,0.018321081701321656,0,1,1,5.673323267171493,,,0.0,1.0,0.5
BP0170,U0036,0,1,0.5,1.0,1,0,0,495,,1,0,0,6.206575926724928,1.0,1.0,,,
BP0099,U0036,1,2,1.0,0.6,1,1,1,450,0.0014344988462102223,1,1,1,6.111467339502679,1.0,2.0,1.0,0.0,0.5
BP0127,U0036,2,2,1.0,0.429,1,1,0,297,0.0005273455848218842,1,1,1,5.697093486505405,1.0,3.0,1.0,1.0,1.0
BP0282,U0036,3,2,1.0,0.636,0,1,0,438,0.0009437484830386403,0,1,1,6.0844994130751715,1.0,4.0,1.0,1.0,1.0
BP0153,U0036,4,2,1.0,0.667,0,1,0,385,0.029443126513968652,0,1,1,5.955837369464831,1.0,5.0,0.0,1.0,1.0
BP0114,U0036,5,2,1.0,0.75,0,1,0,369,0.001977178673998813,0,1,1,5.91350300563827,,,0.0,1.0,1.0
BP0293,U0038,0,1,0.5,0.429,1,0,1,587,,1,0,0,6.376726947898627,0.5,1.0,,,
BP0251,U0038,1,1,0.5,0.091,0,1,0,443,0.3060703124433745,0,1,1,6.095824562432225,0.5,2.0,1.0,0.0,0.5
BP0116,U0038,2,1,0.5,0.667,0,0,0,244,,0,0,0,5.501258210544727,1.0,3.0,0.0,1.0,0.5
BP0296,U0038,3,2,1.0,0.6,0,0,0,243,,0,0,0,5.497168225293202,0.5,4.0,0.0,0.0,0.5
BP0374,U0038,4,1,0.5,0.6,0,0,0,228,,0,0,0,5.43372200355424,1.0,5.0,0.0,0.0,1.0
BP0018,U0038,5,2,1.0,0.714,0,0,0,239,,0,0,0,5.480638923341991,,,0.0,0.0,0.5
BP0333,U0039,0,1,0.5,1.0,1,0,0,238,,1,0,0,5.476463551931511,1.0,1.0,,,
BP0119,U0039,1,2,1.0,0.8,1,1,0,467,0.030448602576786006,1,1,1,6.148468295917647,0.0,2.0,1.0,0.0,0.5
BP0128,U0039,2,0,0.0,0.667,3,1,0,433,0.0013628432991884191,1,1,1,6.073044534100405,0.0,3.0,1.0,1.0,1.0
BP0103,U0039,3,0,0.0,0.111,0,1,0,689,0.021361096475662575,0,1,1,6.536691597591305,0.5,4.0,1.0,1.0,0.0
BP0060,U0039,4,1,0.5,0.556,0,1,0,476,0.03813789150445954,0,1,1,6.1675164908883415,-0.5,5.0,0.0,1.0,0.0
BP0110,U0039,5,-1,-0.5,0.75,0,1,0,632,0.0009325766840509253,0,1,1,6.450470422144176,,,0.0,1.0,0.5
BP0220,U0040,1,-1,-0.5,0.0,0,0,0,30,,0,0,0,3.4339872044851463,,,,,
BP0342,U0041,0,1,0.5,1.0,1,0,0,259,,1,0,0,5.560681631015528,0.5,1.0,,,
BP0137,U0041,1,1,0.5,0.455,1,1,0,302,0.0034385348369861605,1,1,1,5.713732805509369,1.0,2.0,1.0,0.0,0.5
BP0349,U0041,2,2,1.0,0.333,1,1,0,303,0.0024953182443464474,1,1,1,5.717027701406222,0.0,3.0,1.0,1.0,0.5
BP0152,U0041,3,0,0.0,0.111,0,1,0,402,0.0032527106257442618,0,1,1,5.998936561946683,1.0,4.0,1.0,1.0,1.0
BP0312,U0041,4,2,1.0,0.333,0,1,0,325,0.0032110475106468927,0,1,1,5.786897381366708,0.5,5.0,0.0,1.0,0.0
BP0118,U0041,5,1,0.5,0.667,0,1,0,452,0.05801625876534886,0,1,1,6.115892125483034,,,0.0,1.0,1.0
BP0188,U0042,0,2,1.0,1.0,1,0,0,292,,1,0,0,5.680172609017068,0.5,1.0,,,
BP0047,U0042,1,1,0.5,0.0,1,1,0,456,0.0023989081292155523,1,1,1,6.124683390894205,1.0,2.0,1.0,0.0,1.0
BP0211,U0042,2,2,1.0,0.091,0,1,0,668,0.00038759106726990423,0,1,1,6.505784060128229,0.5,3.0,1.0,1.0,0.5
BP0235,U0042,3,1,0.5,0.429,0,1,0,388,0.010621093036795133,0,1,1,5.963579343618446,0.5,4.0,0.0,1.0,1.0
BP0014,U0042,4,1,0.5,0.25,0,1,0,550,0.0008823744560936251,0,1,1,6.311734809152915,0.5,5.0,0.0,1.0,0.5
BP0112,U0042,5,1,0.5,0.429,0,1,0,445,0.0028370787941325902,0,1,1,6.100318952020064,,,0.0,1.0,0.5
BP0317,U0044,0,1,0.5,1.0,1,0,0,440,,1,0,0,6.089044875446846,0.5,1.0,,,
BP0090,U0044,1,1,0.5,0.6,1,1,0,602,0.0006032427048952609,1,1,1,6.401917196727186,1.0,2.0,1.0,0.0,0.5
BP0376,U0044,2,2,1.0,0.667,0,1,0,379,0.0022873782581781872,0,1,1,5.940171252720432,1.0,3.0,1.0,1.0,0.5
BP0049,U0044,3,2,1.0,0.556,0,1,0,365,0.001602239811640607,0,1,1,5.902633333401366,1.0,4.0,0.0,1.0,1.0
BP0197,U0044,4,2,1.0,0.333,0,1,0,604,0.04684165239765522,0,1,1,6.405228458030842,1.0,5.0,0.0,1.0,1.0
BP0338,U0044,5,2,1.0,0.429,0,1,0,465,0.02316435234892238,0,1,1,6.144185634125646,,,0.0,1.0,1.0
BP0095,U0046,0,1,0.5,0.0,1,0,0,364,,1,0,0,5.8998973535824915,,,,,
BP0322,U0051,0,1,0.5,1.0,1,0,0,422,,1,0,0,6.0473721790462776,0.5,1.0,,,
BP0341,U0051,1,1,0.5,0.111,0,1,0,564,0.004944864247602166,0,1,1,6.336825731146441,0.5,2.0,1.0,0.0,0.5
BP0176,U0051,2,1,0.5,0.6,0,1,0,331,6.80245819147674e-05,0,1,1,5.805134968916488,0.5,3.0,0.0,1.0,0.5
BP0368,U0051,3,1,0.5,0.667,0,1,0,397,0.018548203775957575,0,1,1,5.986452005284438,0.5,4.0,0.0,1.0,0.5
BP0269,U0051,4,1,0.5,0.333,0,1,0,399,0.004567460000050604,0,1,1,5.991464547107982,0.5,5.0,0.0,1.0,0.5
BP0205,U0051,5,1,0.5,0.429,0,1,0,355,0.05052433468844974,0,1,1,5.87493073085203,,,0.0,1.0,0.5
BP0150,U0052,0,1,0.5,1.0,1,0,1,255,,1,0,0,5.545177444479562,0.5,1.0,,,
BP0168,U0052,1,1,0.5,0.5,2,2,0,235,0.09404355079711195,1,1,2,5.4638318050256105,1.0,2.0,1.0,0.0,0.5
BP0056,U0052,2,2,1.0,0.6,0,2,0,219,0.426159574321732,0,1,2,5.393627546352362,0.0,3.0,1.0,1.0,0.5
BP0216,U0052,3,0,0.0,0.5,1,1,0,154,0.003343218483427902,1,1,1,5.043425116919247,0.0,3.0,0.0,1.0,1.0
BP0375,U0052,3,0,0.0,0.5,1,1,0,154,0.003343218483427902,1,1,1,5.043425116919247,0.0,4.0,1.0,1.0,0.0
BP0189,U0052,4,0,0.0,0.5,1,1,0,154,0.002791665028386642,1,1,1,5.043425116919247,0.0,5.0,1.0,1.0,0.0
BP0306,U0052,5,0,0.0,0.5,1,1,0,155,0.001729783546924673,1,1,1,5.049856007249537,,,1.0,1.0,0.0
BP0063,U0055,0,1,0.5,1.0,1,0,0,328,,1,0,0,5.796057750765372,0.5,1.0,,,
BP0008,U0055,1,1,0.5,0.2,1,1,0,618,0.004889223422970211,1,1,1,6.428105272684596,0.5,2.0,1.0,0.0,0.5
BP0356,U0055,2,1,0.5,0.6,0,1,0,419,0.000273999515494488,0,1,1,6.040254711277414,1.0,3.0,1.0,1.0,0.5
BP0185,U0055,3,2,1.0,0.6,0,1,0,334,0.013245498755740262,0,1,1,5.814130531825066,0.5,4.0,0.0,1.0,0.5
BP0155,U0055,4,1,0.5,0.6,0,1,0,298,0.3367859919052554,0,1,1,5.700443573390687,0.5,5.0,0.0,1.0,1.0
BP0310,U0055,5,1,0.5,0.333,0,1,0,407,0.34841707752552703,0,1,1,6.0112671744041615,,,0.0,1.0,0.5
BP0045,U0057,0,1,0.5,1.0,0,0,0,329,,0,0,0,5.799092654460526,0.5,1.0,,,
BP0042,U0057,1,1,0.5,0.6,0,1,0,200,0.014391661177817056,0,1,1,5.303304908059076,0.5,2.0,0.0,0.0,0.5
BP0175,U0057,2,1,0.5,0.429,0,1,0,259,0.0011881802323771727,0,1,1,5.560681631015528,0.5,3.0,0.0,1.0,0.5
BP0187,U0057,3,1,0.5,0.714,0,1,0,235,0.0697033003707938,0,1,1,5.4638318050256105,1.0,4.0,0.0,1.0,0.5
BP0093,U0057,4,2,1.0,0.6,0,1,0,244,0.0010907649323806013,0,1,1,5.501258210544727,0.5,5.0,0.0,1.0,0.5
BP0057,U0057,5,1,0.5,0.333,0,1,0,244,0.003780067556841489,0,1,1,5.501258210544727,,,0.0,1.0,1.0
BP0147,U0060,0,1,0.5,1.0,1,0,0,299,,1,0,0,5.703782474656201,1.0,1.0,,,
BP0239,U0060,1,2,1.0,0.667,1,1,0,497,0.004089749221127778,1,1,1,6.210600077024653,0.5,2.0,1.0,0.0,0.5
BP0082,U0060,2,1,0.5,0.25,1,1,0,569,0.005690336026727378,1,1,1,6.345636360828596,-0.5,3.0,1.0,1.0,1.0
BP0055,U0060,3,-1,-0.5,0.2,0,1,0,692,0.001800369742883549,0,1,1,6.541029999189903,1.0,4.0,1.0,1.0,0.5
BP0165,U0060,4,2,1.0,0.0,0,1,0,674,0.0024953182443464474,0,1,1,6.51471269087253,0.5,5.0,0.0,1.0,-0.5
BP0048,U0060,5,1,0.5,0.333,0,1,0,497,0.03180351050492677,0,1,1,6.210600077024653,,,0.0,1.0,1.0
BP0032,U0061,0,1,0.5,1.0,2,0,0,379,,1,0,0,5.940171252720432,0.5,1.0,,,
BP0303,U0061,1,1,0.5,1.0,1,1,1,73,0.02193101865199502,1,1,1,4.30406509320417,-0.5,1.0,1.0,0.0,0.5
BP0318,U0061,1,-1,-0.5,0.0,1,1,0,785,0.0067904952016603105,1,1,1,6.666956792429207,0.5,2.0,1.0,1.0,0.5
BP0272,U0061,2,1,0.5,-0.125,0,1,0,931,0.0012885328209000894,0,1,1,6.837332814685591,1.0,3.0,1.0,1.0,-0.5
BP0115,U0061,3,2,1.0,0.474,0,1,0,1125,0.00012001912267964643,0,1,1,7.026426808699636,1.0,4.0,0.0,1.0,0.5
BP0067,U0061,4,2,1.0,0.2,0,1,0,896,0.01466177365929125,0,1,1,6.799055862058796,0.5,5.0,0.0,1.0,1.0
BP0330,U0061,5,1,0.5,0.667,0,1,0,456,0.0048190840791110055,0,1,1,6.124683390894205,,,0.0,1.0,1.0
BP0019,U0062,0,1,0.5,1.0,1,0,1,400,,1,0,0,5.993961427306569,0.5,1.0,,,
BP0297,U0062,1,1,0.5,0.667,0,1,0,434,0.01269513265781291,0,1,1,6.075346031088684,1.0,2.0,1.0,0.0,0.5
BP0142,U0062,2,2,1.0,0.714,0,1,0,334,3.551567102071285e-05,0,1,1,5.814130531825066,1.0,3.0,0.0,1.0,0.5
BP0336,U0062,3,2,1.0,0.75,0,1,0,339,0.0013105550017212789,0,1,1,5.8289456176102075,0.5,4.0,0.0,1.0,1.0
BP0036,U0062,4,1,0.5,0.455,0,1,0,674,0.017330359257142474,0,1,1,6.51471269087253,0.5,5.0,0.0,1.0,1.0
BP0104,U0062,5,1,0.5,0.538,0,1,0,542,0.007749293889870648,0,1,1,6.297109319933935,,,0.0,1.0,0.5
BP0242,U0069,0,1,0.5,1.0,1,0,0,511,,1,0,0,6.238324625039508,0.5,1.0,,,
BP0058,U0069,1,1,0.5,0.067,1,1,0,668,0.25747966185337967,1,1,1,6.505784060128229,0.5,2.0,1.0,0.0,0.5
BP0270,U0069,2,1,0.5,0.556,0,1,0,641,0.005026120273370772,0,1,1,6.464588303689961,0.5,3.0,1.0,1.0,0.5
BP0198,U0069,3,1,0.5,0.6,0,1,0,274,0.00062938797883698,0,1,1,5.616771097666572,0.5,4.0,0.0,1.0,0.5
BP0120,U0069,4,1,0.5,0.75,0,1,1,252,0.024529121589582047,0,1,1,5.53338948872752,1.0,5.0,0.0,1.0,0.5
BP0133,U0069,5,2,1.0,0.714,0,1,0,322,0.003713857733601387,0,1,1,5.777652323222656,,,0.0,1.0,0.5
BP0028,U0071,0,1,0.5,1.0,1,0,0,360,,1,0,0,5.8888779583328805,,,,,
BP0145,U0074,0,1,0.5,1.0,1,0,0,539,,1,0,0,6.29156913955832,0.5,1.0,,,
BP0071,U0074,1,1,0.5,0.2,2,1,1,649,0.017406307268976,1,1,1,6.476972362889683,1.0,2.0,1.0,0.0,0.5
BP0348,U0074,2,2,1.0,0.25,0,1,1,399,2.9878858262143085e-06,0,1,1,5.991464547107982,0.5,3.0,1.0,1.0,0.5
BP0351,U0074,3,1,0.5,0.111,0,1,0,549,5.206723122831568e-06,0,1,1,6.309918278226516,0.5,4.0,0.0,1.0,1.0
BP0178,U0074,4,1,0.5,0.333,0,1,0,439,0.07200882775052435,0,1,1,6.0867747269123065,0.0,5.0,0.0,1.0,0.5
BP0050,U0074,5,0,0.0,0.429,0,1,0,326,4.85489304537071e-06,0,1,1,5.7899601708972535,,,0.0,1.0,0.5
BP0206,U0081,0,1,0.5,1.0,1,0,2,584,,1,0,0,6.371611847231857,,,,,
BP0273,U0086,0,1,0.5,1.0,1,0,0,218,,1,0,0,5.389071729816501,,,,,
BP0213,U0090,0,1,0.5,1.0,1,0,0,321,,1,0,0,5.7745515455444085,0.0,1.0,,,
BP0268,U0090,1,0,0.0,0.75,0,1,0,339,0.009597982492974826,0,1,1,5.8289456176102075,0.0,2.0,1.0,0.0,0.5
BP0109,U0090,2,0,0.0,0.333,0,1,0,409,0.008765881270705838,0,1,1,6.016157159698354,0.5,3.0,0.0,1.0,0.0
BP0121,U0090,3,1,0.5,0.333,0,1,0,510,0.004743154536913382,0,1,1,6.236369590203704,0.5,4.0,0.0,1.0,0.0
BP0097,U0090,4,1,0.5,0.636,0,1,0,354,0.0020029466806457037,0,1,1,5.872117789475416,0.5,5.0,0.0,1.0,0.5
BP0052,U0090,5,1,0.5,0.667,0,1,0,316,0.013016745477462774,0,1,1,5.75890177387728,,,0.0,1.0,0.5
BP0215,U0092,0,1,0.5,1.0,1,0,0,380,,1,0,0,5.942799375126701,0.5,1.0,,,
BP0180,U0092,1,1,0.5,0.5,0,1,0,223,0.06606291300773616,0,1,1,5.4116460518550396,0.0,2.0,1.0,0.0,0.5
BP0315,U0092,2,0,0.0,-0.667,0,1,0,836,0.015346221742952476,0,1,1,6.729824070489475,0.5,3.0,0.0,1.0,0.5
BP0174,U0092,3,1,0.5,0.333,0,1,0,766,0.007447758874293779,0,1,1,6.642486801367256,0.5,4.0,0.0,1.0,0.0
BP0113,U0092,4,1,0.5,0.455,0,1,0,777,0.03525613759345338,0,1,1,6.656726524178391,1.0,5.0,0.0,1.0,0.5
BP0199,U0092,5,2,1.0,0.333,0,1,0,796,0.018966478838357198,0,1,1,6.680854678790215,,,0.0,1.0,0.5
BP0066,U0093,0,1,0.5,1.0,0,0,0,354,,0,0,0,5.872117789475416,,,,,
BP0027,U0094,0,2,1.0,1.0,1,0,0,343,,1,0,0,5.840641657373398,0.5,1.0,,,
BP0191,U0094,1,1,0.5,0.263,0,1,0,733,0.004338922897693631,0,1,1,6.598509028614515,1.0,2.0,1.0,0.0,1.0
BP0373,U0094,2,2,1.0,0.556,0,1,0,555,0.001563363819848202,0,1,1,6.320768294250582,0.5,3.0,0.0,1.0,0.5
BP0288,U0094,3,1,0.5,0.667,0,1,0,176,0.0035204199027510123,0,1,1,5.176149732573829,,,0.0,1.0,1.0
BP0283,U0097,0,1,0.5,0.0,1,0,0,294,,1,0,0,5.68697535633982,0.5,1.0,,,
BP0070,U0097,1,1,0.5,0.2,1,1,0,613,0.0047482383241522355,1,1,1,6.419994928147142,0.5,2.0,1.0,0.0,0.5
BP0144,U0097,2,1,0.5,0.714,0,1,0,887,0.006153124250639921,0,1,1,6.78897174299217,0.0,3.0,1.0,1.0,0.5
BP0157,U0097,3,0,0.0,0.2,0,1,0,990,0.002091996053621399,0,1,1,6.898714534329988,1.0,4.0,0.0,1.0,0.5
BP0053,U0097,4,2,1.0,0.231,0,1,0,977,0.009867355331178131,0,1,1,6.885509670034818,0.5,5.0,0.0,1.0,0.0
BP0311,U0097,5,1,0.5,0.571,0,1,0,891,0.033775071865435546,0,1,1,6.79346613258001,,,0.0,1.0,1.0
BP0285,U0101,0,1,0.5,0.5,1,0,0,580,,1,0,0,6.364750756851911,0.5,1.0,,,
BP0078,U0101,1,1,0.5,0.429,0,1,0,613,0.021072870252404965,0,1,1,6.419994928147142,0.5,2.0,1.0,0.0,0.5
BP0123,U0101,2,1,0.5,0.2,0,1,0,641,0.0012674681782400585,0,1,1,6.464588303689961,0.5,3.0,0.0,1.0,0.5
BP0086,U0101,3,1,0.5,0.5,0,1,0,550,0.03804515442854345,0,1,1,6.311734809152915,0.5,4.0,0.0,1.0,0.5
BP0182,U0101,4,1,0.5,0.556,0,1,0,729,0.00521976643350216,0,1,1,6.593044534142437,0.5,5.0,0.0,1.0,0.5
