pid,valence,emotion,target
1P299,1,성취만족,과제
1P300,1,성취만족,과제
1P301,1,성취만족,과제
1P302,1,성취만족,과제
1P303,1,성취만족,과제
1P304,1,성취만족,과제
1P305,1,성취만족,과제
1P306,1,성취만족,과제
1P307,2,성취만족,과제
1P308,1,성취만족,과제
1P309,1,성취만족,과제
1P310,1,성취만족,과제
1P311,1,성취만족,과제
1P312,1,성취만족,과제
1P313,1,성취만족,과제
1P314,1,성취만족,과제
1P315,1,성취만족,과제
1P316,0,혼란,과제
1P317,1,성취만족,과제
1P318,1,성취만족,과제
1P319,2,성취만족,자기학습
1P320,0,혼란,과제
1P321,2,성취만족,과제
1P322,1,성취만족,과제
1P323,0,혼란,과제
1P324,2,성취만족,과제
1P325,1,성취만족,과제
1P326,1,성취만족,과제
1P327,2,성취만족,과제
1P328,1,성취만족,과제
1P329,1,성취만족,과제
1P330,1,성취만족,과제
1P331,1,성취만족,과제
1P332,1,성취만족,과제
1P333,1,성취만족,과제
1P334,1,성취만족,과제
1P335,1,성취만족,과제
1P336,-1,좌절,과제
1P337,1,성취만족,과제
1P338,1,성취만족,과제
1P339,2,성취만족,AI
1P340,1,성취만족,과제
1P341,1,성취만족,과제
1P342,1,성취만족,과제
1P343,0,혼란,과제
1P344,1,성취만족,과제
1P345,1,성취만족,과제
1P346,1,성취만족,과제
1P347,0,혼란,과제
1P348,1,성취만족,과제
1P349,1,성취만족,과제
1P350,2,성취만족,과제
1P351,1,성취만족,과제
1P352,1,성취만족,과제
1P353,1,성취만족,과제
1P354,0,혼란,과제
1P355,2,성취만족,운영
1P356,2,성취만족,과제
1P357,1,성취만족,과제
1P358,1,성취만족,과제
1P359,1,성취만족,과제
1P360,1,동기기대,일반
1P361,1,동기기대,일반
1P362,1,성취만족,과제
1P363,1,성취만족,과제
1P364,1,성취만족,과제
1P365,1,성취만족,과제
1P366,0,혼란,과제
1P367,1,성취만족,과제
1P368,1,성취만족,과제
1P369,0,혼란,과제
1P370,1,성취만족,과제
1P371,1,성취만족,과제
1P372,1,성취만족,과제
1P373,-1,좌절,과제
1P374,-1,좌절,과제
1P375,1,성취만족,과제
1P376,2,성취만족,과제
1P377,1,동기기대,일반
1P378,0,혼란,과제
1P379,1,성취만족,과제
1P380,1,성취만족,과제
1P381,1,성취만족,과제
1P382,0,혼란,과제
1P383,1,성취만족,과제
1P384,1,성취만족,과제
1P385,1,성취만족,과제
1P386,1,성취만족,과제
1P387,1,성취만족,과제
1P388,1,성취만족,과제
1P389,1,성취만족,과제
1P390,1,성취만족,과제
1P391,1,성취만족,과제
1P392,0,혼란,과제
1P393,1,성취만족,과제
1P394,1,성취만족,과제
1P395,1,성취만족,과제
1P396,1,성취만족,과제
1P397,0,혼란,과제
1P398,1,성취만족,과제
1P399,1,성취만족,AI
1P400,0,혼란,과제
1P401,1,성취만족,과제
1P402,1,성취만족,과제
1P403,1,성취만족,과제
1P404,1,성취만족,과제
1P405,1,성취만족,과제
1P406,1,성취만족,과제
1P407,1,성취만족,과제
1P408,1,성취만족,과제
1P409,1,성취만족,과제
1P410,1,성취만족,과제
1P411,1,성취만족,과제
1P412,2,성취만족,과제
1P413,1,성취만족,과제
1P414,0,혼란,과제
1P415,1,성취만족,과제
1P416,1,성취만족,과제
1P417,1,성취만족,과제
1P418,1,성취만족,과제
1P419,1,성취만족,과제
1P420,2,성취만족,과제
1P421,1,성취만족,과제
1P422,1,성취만족,과제
1P423,1,성취만족,과제
1P424,1,성취만족,과제
1P425,1,성취만족,과제
1P426,1,성취만족,과제
1P427,1,성취만족,과제
1P428,1,성취만족,과제
1P429,1,성취만족,과제
1P430,1,성취만족,과제
1P431,1,성취만족,과제
1P432,1,성취만족,과제
1P433,1,성취만족,과제
1P434,1,성취만족,과제
1P435,1,성취만족,과제
1P436,1,성취만족,과제
1P437,1,성취만족,자기학습
1P438,2,성취만족,과제
1P439,1,성취만족,과제
1P440,2,성취만족,과제
1P441,1,성취만족,과제
1P442,1,성취만족,과제
1P443,0,혼란,과제
1P444,1,성취만족,과제
1P445,1,성취만족,과제
1P446,2,성취만족,과제
1P447,1,성취만족,과제
